iter	MAE
0	1.107992941
5	1.069547324
10	1.034377378
15	0.9998386358
20	0.9665818387
25	0.9338749032
30	0.9019441982
35	0.8699740733
40	0.8386473193
45	0.8099756695
50	0.7839964582
55	0.7589956517
60	0.7347199063
65	0.7113505394
70	0.6886873231
75	0.6665031936
80	0.6446328239
85	0.6249928391
90	0.6045191974
95	0.5854834417
100	0.5674602617
105	0.5505820303
110	0.5378465679
115	0.5277869626
120	0.5196616414
125	0.5134514854
130	0.507663372
135	0.5024171599
140	0.4973182335
145	0.4930959642
150	0.4893898725
155	0.4855157076
160	0.482055764
165	0.478687661
170	0.4763128757
175	0.4738493783
180	0.4716016473
185	0.4695442718
190	0.4677541447
195	0.4660270755
200	0.4644735371
205	0.4629645285
210	0.4618507961
215	0.4608202485
220	0.4599187367
225	0.4592478345
230	0.4585908022
235	0.4579225419
240	0.4573310355
245	0.4567278145
250	0.4563162351
255	0.455809617
260	0.4554317913
265	0.4551028406
270	0.4548943395
275	0.4547547362
280	0.4545948321
285	0.4543883124
290	0.454301686
295	0.4541611094
299	0.4536594275
