iter	Passed	Remaining
0	6	1850
1	11	1678
2	16	1601
3	21	1577
4	26	1553
5	32	1572
6	37	1561
7	42	1549
8	48	1568
9	53	1550
10	58	1547
11	64	1542
12	69	1533
13	74	1522
14	79	1517
15	85	1514
16	90	1503
17	95	1496
18	100	1486
19	105	1475
20	110	1470
21	115	1463
22	120	1454
23	125	1447
24	131	1444
25	136	1442
26	142	1437
27	147	1432
28	152	1425
29	157	1420
30	163	1416
31	168	1413
32	175	1421
33	182	1431
34	190	1444
35	196	1444
36	202	1440
37	208	1434
38	213	1426
39	218	1421
40	224	1418
41	229	1409
42	236	1411
43	242	1408
44	247	1404
45	253	1397
46	257	1387
47	262	1378
48	267	1372
49	273	1365
50	278	1358
51	283	1352
52	288	1345
53	293	1339
54	299	1334
55	304	1328
56	310	1321
57	315	1316
58	320	1310
59	325	1303
60	334	1309
61	341	1312
62	347	1306
63	352	1299
64	357	1293
65	363	1288
66	368	1281
67	373	1275
68	378	1268
69	384	1261
70	389	1256
71	394	1250
72	400	1243
73	405	1237
74	410	1230
75	415	1224
76	420	1218
77	425	1211
78	430	1205
79	436	1201
80	442	1197
81	447	1190
82	453	1184
83	458	1177
84	462	1170
85	468	1165
86	473	1160
87	479	1155
88	484	1149
89	489	1143
90	495	1138
91	501	1133
92	506	1126
93	511	1121
94	516	1114
95	521	1108
96	527	1103
97	532	1097
98	537	1091
99	542	1085
100	547	1079
101	553	1074
102	558	1067
103	563	1062
104	568	1055
105	574	1050
106	579	1044
107	584	1038
108	589	1032
109	594	1026
110	599	1021
111	604	1015
112	610	1009
113	616	1006
114	624	1004
115	632	1002
116	638	997
117	643	992
118	649	987
119	655	983
120	661	979
121	669	976
122	676	974
123	683	969
124	688	964
125	695	959
126	702	957
127	709	952
128	730	968
129	740	968
130	752	970
131	765	973
132	772	969
133	780	966
134	785	960
135	791	954
136	796	947
137	801	940
138	807	934
139	812	928
140	817	921
141	823	915
142	828	909
143	833	902
144	838	896
145	844	890
146	848	883
147	854	877
148	859	870
149	864	864
150	870	858
151	875	852
152	880	845
153	886	840
154	891	833
155	897	828
156	903	823
157	908	816
158	914	810
159	919	804
160	925	798
161	930	792
162	935	786
163	940	780
164	946	774
165	951	768
166	956	761
167	961	755
168	966	749
169	971	743
170	978	738
171	983	732
172	989	726
173	994	720
174	999	714
175	1005	708
176	1010	702
177	1015	695
178	1020	689
179	1025	683
180	1030	677
181	1036	671
182	1041	665
183	1046	659
184	1051	653
185	1057	647
186	1062	641
187	1067	636
188	1073	630
189	1078	624
190	1083	618
191	1088	612
192	1092	605
193	1098	600
194	1103	594
195	1108	588
196	1114	582
197	1119	576
198	1125	570
199	1132	566
200	1140	561
201	1146	556
202	1151	550
203	1156	544
204	1161	538
205	1167	532
206	1171	526
207	1177	520
208	1182	514
209	1187	508
210	1192	503
211	1197	497
212	1203	491
213	1208	485
214	1213	479
215	1218	473
216	1223	468
217	1228	462
218	1233	456
219	1238	450
220	1244	444
221	1249	438
222	1254	433
223	1260	427
224	1265	421
225	1270	416
226	1276	410
227	1281	404
228	1286	398
229	1291	393
230	1296	387
231	1302	381
232	1307	375
233	1312	370
234	1317	364
235	1322	358
236	1327	352
237	1333	347
238	1338	341
239	1342	335
240	1348	330
241	1353	324
242	1358	318
243	1363	312
244	1368	307
245	1373	301
246	1378	295
247	1384	290
248	1389	284
249	1394	278
250	1399	273
251	1405	267
252	1410	262
253	1415	256
254	1421	250
255	1426	245
256	1432	239
257	1437	233
258	1442	228
259	1447	222
260	1452	217
261	1457	211
262	1462	205
263	1468	200
264	1473	194
265	1478	189
266	1483	183
267	1488	177
268	1493	172
269	1499	166
270	1504	160
271	1509	155
272	1514	149
273	1519	144
274	1524	138
275	1530	133
276	1535	127
277	1541	121
278	1546	116
279	1551	110
280	1556	105
281	1562	99
282	1567	94
283	1572	88
284	1578	83
285	1583	77
286	1588	71
287	1593	66
288	1598	60
289	1604	55
290	1609	49
291	1614	44
292	1619	38
293	1624	33
294	1629	27
295	1635	22
296	1641	16
297	1647	11
298	1653	5
299	1659	0
